,Unnamed: 0,source,title,text,url,date_published,authors
155,155,b1.ro,"Tăriceanu: Ne-a fost foarte greu, mie şi colegului Dragnea, să facem faţă solicitărilor de suspendare a preşedintelui","Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/tariceanu-ne-a-fost-foarte-greu-mie-si-colegului-dragnea-sa-facem-fata-solicitarilor-de-suspendare-a-presedintelui-64671.html,2020-03-06,
156,156,b1.ro,"POLITICIENII PENALI, ATACAȚI DE IOHANNIS: Dacă sistemul judiciar devine vulnerabil, nimic nu mai stă în picioare în Români","Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/politicienii-penali-atacati-de-iohannis-daca-sistemul-judiciar-devine-vulnerabil-nimic-nu-mai-sta-in-picioare-in-romani-64840.html,2020-03-06,
157,157,b1.ro,Curtea de Apel București judecă luni contestația lui Sorin Oprescu la măsura arestării preventive,"Curtea de Apel București judecă luni contestația depusă de Sorin Oprescu la decizia de arestare preventivă, într-un dosar în care este acuzat de luare de mită, informează Agerpres.
Magistrații Tribunalului București au admis pe 7 septembrie propunerea procurorilor DNA de arestare preventivă a Primarului General. Decizia nu era definitivă și acesta a depus contestație.
Oprescu a fost reținut în noaptea de sâmbătă spre duminică pentru săvârșirea infracțiunii de luare de mită.
Procurorii DNA susțin că în perioada 2013 — 2015, un grup bine organizat, la care a aderat și Sorin Oprescu, a înființat în administrația locală din municipiul București un sistem prin care operatorii economici care doreau să primească contracte din partea instituțiilor publice aflate în subordinea primarului trebuiau să remită o parte din profitul brut realizat din execuția acelor contracte, cu titlu de mită, unor factori de decizie din cadrul aparatului.
""Astfel, executantul păstra pentru sine între 30% și 33% din profitul brut, iar diferența era remisă funcționarilor din cadrul aparatului primarului municipiului București, cu titlul de mită, un procent de 10% din valoarea contractului fiind cerut pentru Oprescu. Concret, membrii grupului, persoane cu funcții de conducere din cadrul a două instituții publice din subordinea primarului municipiului București, facilitau câștigarea contractului, vorbeau cu angajații din subordine să accepte documentația de atribuire, precum și să aprobe și dispună efectuarea plății facturilor emise de firmele respective, foarte repede față de momentul facturării, totodată solicitând sume de bani pentru persoane cu funcții de conducere în aparatul primarului municipiului București, precum și pentru primar"", preciza DNA.
Procurorii acuză că Oprescu a primit sâmbăta trecută 25.000 de euro dintr-un total de 60.000 de euro, în baza unei înțelegeri cu conducătorul unei instituții publice din subordinea sa și o persoană de încredere a primarului.
În același dosar, au fost reținuți Mircea Octavian Constantinescu, director în cadrul Primăriei Municipiului București, fostul șofer al primarului, Stanca Cristian, zis Grenadă, șefii Centrului Cultural ''Palatele Brâncovenești'', Florin Șupeală și Ruxandra Petroi Avasiloae, precum și omul de afaceri Claudiu Bengalici. Și ei au primit mandate de arestare preventivă.
Bogdan Popa, director al Administrației Cimitirelor și Crematoriilor Umane, și Romeo Albu au fost plasați în arest la domiciliu.",https://www.b1.ro/stiri/eveniment/curtea-de-apel-bucuresti-judeca-luni-contestatia-lui-sorin-oprescu-la-masura-arestarii-preventive-124531.html,2020-03-06,
158,158,b1.ro,Șerban Nicolae se ține de GLUME: A citat din poezia ''GERMANU-i foarte tacticos'' a lui EMINESCU pentru a transmite un AVERTISMENT,"Șerban Nicolae se ține de GLUME: A citat din poezia ''GERMANU-i foarte tacticos'' a lui EMINESCU pentru a transmite un AVERTISMENT
Senatorul PSD Șerban Nicolae a postat pe Facebook poezia ”Germanu-i foarte tacticos” a lui Mihai Eminescu, făcând aluzie la faptul că președintele Klaus Iohannis tot citește de câteva săptămâni motivarea deciziei CCR privind revocarea Laurei Kovesi. Social-democratul se folosește de versuri pentru a-i transmite președintelui că până termină de citit și ia o decizie s-ar putea să fie prea târziu. Probabil și asta o aluzie la o eventuală suspendare.
”Bacalaureat la Democrație (Dictatura majorității)
Se dă poezia ""Germanu-i foarte tacticos"" (Mihai Eminescu)
Neamţul cercetează lucrul
tacticos, pe dos, pe faţă.
La surtuc de are pată
el chemia o învaţă.
Ani întregi mereu citeşte
spre a şti cum se cuvine
Cu ce chip din cit şi lînă
iese petele mai bine.
Dar cînd ştie toate celea,
cu ce scop le ştie toate?
Cînd surtucul cu pricina
e o zdreanţă fără coate!
Întrebare:
De unde a știut Eminescu de decizia Curții Constituționale?”, a scris Șerban Nicolae, pe Facebook.",https://www.b1.ro/stiri/politica/serban-nicolae-poezie-mihai-eminescu-avertisment-klaus-iohannis-231314.html,2020-03-06,
159,159,b1.ro,"Comunicat B1 TV, în cazul lui Andrei Bădin","Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/comunicat-b1-tv-in-cazul-lui-andrei-badin-38696.html,2020-03-06,
160,160,b1.ro,"Protest cu ligheane în fața Primăriei Capitalei. Frigul din locuinţe şi lipsa apei calde i-a scos în stradă pe bucureșteni: ”Luminițe, bâlciuri, târguri, concerte... nu aceasta este agenda cetățeanulu","Protest cu ligheane în fața Primăriei Capitalei. Frigul din locuinţe şi lipsa apei calde i-a scos în stradă pe bucureșteni: ”Luminițe, bâlciuri, târguri, concerte... nu aceasta este agenda cetățeanului” (VIDEO)
Frigul din locuinţe şi lipsa apei calde i-au scos în stradă pe bucureşteni. Joi dimineaţă, mai mulţi oameni s-au adunat în faţa Primăriei Capitalei, înarmaţi cu ligheane și cu pancarte, pentru a-şi striga nemulţumirile.
Peste 60 de oameni s-au prezentat în fața sediului Primariei Capitalei, nemulţumiţi că au fost lăsaţi fără apă caldă şi căldură în prag de iarnă. Înarmaţi cu ligheane şi pancarte, bucureştenii au protestat din nou față de felul în care municipalitatea continuă să-şi bată joc de oameni.
Oamenii spun că vor ca Primăria să investească în cele necesare și să renunțe la cheltuielile cu vouchere sau târguri.
„Din păcate, nu se face absolut nimic. Asistăm la niște lucruri care sunt de suprafață: pavazarea Bucureștiului cu luminițe, bâlciuri, târguri, concerte. Nu aceasta este agenda cetățeanului. (...) Dânsa (primarul Gabriela Firea - n.r.) nu este stăpâna bugeului, nu este stăpâna Bucureștiului. Este doar un administrator și trebuie să țină cont de agenda cetățeanului”, a declarat o femeie prezentă la protest.
Consilierul PNL din cadrul Consiliului General al Capitalei, Ciprian Ciucu, spune că a mers cu un plan de intervenţie în Capitală, pentru ca pe viitor bucureştenii să nu se mai confrunte cu asemenea probleme cu apa caldă şi căldura.
""Problemele sunt extrem de grave. Într-o lună am putea să umplem un tren de la București la Viena cu astfel de cisterne cu apa fierbinte care se scurge în solul Bucureștiului, Problema este foarte mare, iar noi vrem să o punem pe agenda primarului general astfel încât în aprilie, după ce trece iarna, să avem un plan de investiții care să fie bine pus la punct, ca să se facă investiții ca să reducem pierderile acestea și să aducem situaţia sub control”, a declarat Ciprian Ciucu.",https://www.b1.ro/stiri/eveniment/protest-cu-ligheane-in-fata-primariei-capitalei-309256.html,2020-03-06,
161,161,b1.ro,"Mircea Badea, urări pentru Cătălin Striblea","Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/mircea-badea-urari-pentru-catalin-striblea-28552.html,2020-03-06,
162,162,b1.ro,"Radu Banciu: Ei vor să facă pușcării de cinci stele, dar până acum de ce nu le-ați făcut, mă? Că nu vă interesa! Acolo nu ajungea picior de politician (VIDEO)","Radu Banciu: Ei vor să facă pușcării de cinci stele, dar până acum de ce nu le-ați făcut, mă? Că nu vă interesa! Acolo nu ajungea picior de politician (VIDEO)
Radu Banciu a vorbit în ediția de joi a emisiunii ”Lumea lui Banciu” despre un studiu făcut de World Vision România (Detalii AICI) și despre noua încercare a PSD, prin intermediul senatorului Șerban Nicolae, de a grația corupții.
”Avem un studiu, făcut la mediul rural în România, alarmant absolut: 74% din gospodăriile mediului rural românesc nu pot să le ofere copiilor hrana necesară. 74%! Un copil din zece se duce la culcare flămând.
Nu vorbește nimeni despre asta, nici doamna Firea, care ne-a anunțat că, pentru prima dată în istoria Capitalei, Paștele va fi unul luminat, deci vor fi beculețe de Paște, ca să ne credem de Crăciun. Se vor cheltui milioane de euro pentru nimic, în loc să facă ceva concret. E simplu să arunci banii pe fereastră pentru ceva ce nu contează, dar să ai o idee, să faci cu adevărat ceva care contează, asta nu poate să facă nici doamna Firea, nici domnul Șerban Nicolae, nimeni.
Ei vin cu astfel de idei numai că-i privește personal. Nu ar fi foarte rău să se gândească la ei, dar nu din prima! Ei, după ce au avut eșeul cu OUG 13, acum vin cu chestiunea asta. Dacă reușește, bine, dacă nu, ce poate să facă Nicolae? Să se spânzure? Nu-i cazul. Deci de asta vine și spune că nu e un proiect personal. Lasă, bă, că ai timp! Vino peste patru-cinci ani, când se vor mai liniști apele.
Încă o dată: nu oamenii de rând beneficiază de așa ceva, de condițiile din pușcării. Ei vor să facă pușcării de cinci stele, dar până acum de ce nu le-ați făcut, mă? Că nu vă interesa! Acolo nu ajungea picior de politician. După ce au văzut ce pericole există, s-au apucat de treabă. Nu e o prioritate pentru națiune!”, a afirmat Radu Banciu.
Radu Banciu: Ei vor să facă pușcării de cinci stele, dar până acum de ce nu le-ați făcut, mă? Că nu vă interesa! Acolo nu ajungea picior de politician",https://www.b1.ro/stiri/lumea-lui-banciu/radu-banciu-ei-vor-sa-faca-puscarii-de-cinci-stele-dar-pana-acum-de-ce-nu-le-ati-facut-ma-ca-nu-va-interesa-acolo-nu-ajungea-picior-de-politician-video-179285.html,2020-03-06,
163,163,b1.ro,Alianța USR-PLUS este pregătită să intre la guvernare și îl propune premier pe Dacian Cioloș. Dan Barna: Scenariul e valabil doar dacă PSD blochează alegerile anticipate,"Alianța USR-PLUS este pregătită să intre la guvernare și îl propune premier pe Dacian Cioloș. Dan Barna: Scenariul e valabil doar dacă PSD blochează alegerile anticipate
Alianța USR-PLUS este pregătită să participe, „cu miniștri, la o guvernare al cărei prim obiectiv să fie adoptarea unei ordonanțe de urgență care să instituie revenirea la alegerile de primari în două tururi”, a afirmat Dan Barna, care spune că formațiunile au și o propunere de premier „în persoana lui Dacian Cioloș”.
Cu toate acestea, prioritatea Alianței rămâne declanșarea anticipatelor. Dacă acest lucru nu va fi posibil, „USR susține dizolvarea acestui parlament și organizarea de alegeri anticipate. Actualul Parlament, dominat de o majoritate toxică, și-a dovedit limitele. România nu poate merge înainte cu el”.
„USR susține dizolvarea acestui parlament și organizarea de alegeri anticipate.
Actualul Parlament, dominat de o majoritate toxică, și-a dovedit limitele. România nu poate merge înainte cu el.
Am luat act de afirmațiile Președintelui României din această seară privind o posibilă nouă formulă guvernamentală în cazul în care nu se găsește majoritatea pentru anticipate. Mâine, la consultările de la Cotroceni, delegația USR îi va comunica șefului statului faptul că Alianța USR-PLUS este pregătită să participe, cu miniștri, la o guvernare al cărei prim obiectiv să fie adoptarea unei ordonanțe de urgență care să instituie revenirea la alegerile de primari în două tururi.
Acest scenariu este valabil doar în situația în care majoritatea de sorginte pesedistă din parlament va face imposibilă organizarea anticipatelor.
Reamintesc că Alianța USR PLUS are o propunere de premier în persoana lui Dacian Cioloș. Avem, de asemenea, oameni competenți pentru posturile de miniștri dintr-un viitor guvern.
#FărăBaroniLocali”, a scris Dan Barna, miercuri, pe Facebook.",https://www.b1.ro/stiri/politica/alianta-usr-plus-este-pregatita-sa-intre-la-guvernare-si-il-propune-premier-pe-dacian-ciolos-dan-barna-scenariul-e-valabil-doar-daca-psd-blocheaza-alegerile-anticipate-319596.html,2020-03-06,
164,164,b1.ro,Tactică și TĂMÂIE la FCSB! Fotbaliștii au rămas fără replică atunci când au ajuns la baza din Berceni,"Știm că timpul tău e prețios, așa că nu te vom deranja cu știri care nu sunt știri.Abonează-te la notificările B1.ro și vei primi o selecție riguroasă a celor mai importante știri ale zilei.",https://www.b1.ro/video/tactica-si-tamaie-la-fcsb-fotbalistii-au-ramas-fara-replica-atunci-cand-au-ajuns-la-baza-din-berceni-89979.html,2020-03-06,
