,Len,Indices
0,6,"[12345, 22877, 28410, 61152, 82636, 124752]"
1,4,"[17188, 28264, 55718, 71049]"
2,4,"[25797, 92709, 104803, 132405]"
3,13,"[227, 6261, 13028, 58708, 79979, 85908, 89187, 91153, 95957, 99992, 120938, 122105, 132697]"
4,3,"[23236, 31524, 97005]"
5,8,"[11477, 16924, 31646, 55781, 60713, 101902, 118326, 129189]"
6,8,"[38991, 65819, 81318, 85378, 91111, 93487, 100991, 126664]"
7,5,"[47122, 48656, 68390, 99896, 121436]"
8,5,"[28407, 48208, 50159, 103415, 112760]"
9,5,"[7638, 38206, 66832, 66928, 82303]"
10,6,"[85577, 105410, 107769, 109226, 114319, 126836]"
11,4,"[53233, 97661, 116694, 119064]"
12,6,"[26825, 39974, 59341, 96216, 110555, 110795]"
13,4,"[62763, 70047, 91975, 128389]"
14,5,"[22239, 45233, 60906, 124026, 127657]"
15,19,"[10722, 10783, 11168, 34605, 39211, 45825, 54978, 72733, 74129, 74156, 79777, 81538, 83554, 83774, 93701, 93839, 110496, 115655, 130743]"
16,15,"[3506, 6557, 40625, 44176, 45583, 53124, 54892, 70602, 90521, 99068, 108587, 115631, 125788, 128475, 132079]"
17,4,"[13550, 65984, 77072, 104696]"
18,4,"[41059, 45325, 55298, 89967]"
19,13,"[5118, 13054, 16076, 23324, 61281, 64402, 71232, 76594, 112169, 112329, 120804, 128396, 128402]"
20,21,"[525, 3825, 5506, 6704, 10504, 12026, 18083, 42532, 45694, 62180, 63014, 76801, 77688, 80688, 81930, 101229, 106963, 109553, 113869, 118867, 133176]"
21,10,"[5288, 14493, 18273, 40410, 64107, 85125, 96264, 110812, 121615, 130462]"
22,4,"[10953, 73801, 74414, 93359]"
23,4,"[11097, 26245, 34974, 119802]"
24,2,"[1766, 4000]"
25,9,"[17665, 51580, 60097, 60120, 60789, 64474, 84769, 112993, 127628]"
26,4,"[8115, 21924, 66347, 91098]"
27,6,"[22760, 33095, 98657, 117354, 128372, 129153]"
28,3,"[20653, 69063, 103662]"
29,6,"[2219, 2660, 8526, 9267, 32244, 113677]"
30,8,"[9445, 22025, 45190, 53684, 60882, 94303, 102007, 111965]"
31,10,"[11120, 31179, 47853, 67472, 74569, 89370, 108593, 114834, 128508, 132284]"
32,12,"[25260, 36869, 39349, 78003, 78969, 86506, 90997, 91230, 94139, 98568, 118280, 121162]"
33,8,"[19300, 28225, 61838, 63512, 66410, 84584, 99820, 100196]"
34,6,"[7096, 31430, 50495, 89835, 106174, 121910]"
35,5,"[22330, 22605, 40178, 116325, 129147]"
36,7,"[1989, 18686, 59002, 63829, 64643, 74132, 88470]"
37,6,"[26176, 36252, 43508, 44904, 70207, 132382]"
38,8,"[1842, 22770, 45890, 48694, 68647, 102741, 116229, 132949]"
39,7,"[7927, 8371, 43900, 46919, 48126, 78705, 132379]"
40,5,"[27847, 61309, 79404, 122563, 122891]"
41,7,"[32971, 46356, 61576, 67945, 87524, 105636, 124683]"
42,4,"[17164, 96034, 114851, 123709]"
43,10,"[10283, 21244, 21606, 25727, 38529, 61641, 77038, 99580, 109260, 112113]"
44,6,"[23888, 48551, 82920, 86163, 86332, 108491]"
45,5,"[10289, 72486, 92061, 93261, 123022]"
46,3,"[20767, 65547, 85052]"
47,5,"[15127, 20792, 51936, 83960, 86561]"
48,4,"[6420, 11436, 35941, 78779]"
49,8,"[19138, 25431, 42021, 48601, 123784, 126639, 129904, 130778]"
50,6,"[21985, 24506, 74801, 75907, 94323, 123811]"
51,12,"[1855, 17807, 24173, 38584, 41386, 41741, 44386, 45163, 47912, 100786, 100952, 129511]"
52,7,"[17150, 28246, 46916, 78693, 100259, 112592, 132502]"
53,4,"[68996, 96677, 116065, 117975]"
54,4,"[2596, 10649, 39191, 51057]"
55,32,"[4345, 5753, 16917, 30990, 31341, 31342, 32271, 34126, 44056, 47322, 60658, 69128, 70163, 80361, 81091, 81121, 87326, 92573, 98005, 99554, 100225, 104054, 112603, 114928, 115696, 120845, 125893, 126010, 128354, 128382, 128716, 132313]"
56,3,"[2077, 7023, 70699]"
57,5,"[45566, 61215, 76373, 95864, 117734]"
58,4,"[15920, 16232, 40912, 99335]"
59,2,"[85540, 123791]"
