,Len,Indices
0,4,"[37727, 46198, 46787, 109904]"
1,10,"[27988, 40066, 43189, 43612, 69929, 81866, 101533, 111490, 126013, 128437]"
2,8,"[5169, 41315, 75905, 95385, 107184, 111142, 117566, 127272]"
3,2,"[68487, 78750]"
4,3,"[74954, 94450, 122557]"
5,171,"[133, 1131, 1477, 3063, 5336, 5645, 6884, 6990, 9080, 9203, 9290, 9532, 9655, 9880, 13386, 15335, 15526, 16933, 17031, 17829, 17985, 18376, 19402, 20259, 20314, 20567, 20583, 20644, 21584, 22023, 22104, 22154, 22691, 23311, 24186, 25715, 25728, 26328, 26918, 28550, 29036, 29270, 32442, 33119, 37366, 37467, 37504, 37979, 37984, 40698, 42124, 42832, 45403, 45410, 45493, 45798, 45813, 46242, 46244, 46401, 50006, 51442, 51675, 53447, 54447, 56710, 57031, 57239, 57829, 58283, 59043, 59702, 59733, 60026, 64083, 64137, 64187, 65849, 66273, 66387, 66514, 68255, 68704, 68804, 69116, 69528, 69830, 70261, 72510, 72523, 72530, 72554, 72635, 72916, 72927, 74211, 74822, 75348, 76548, 76904, 76944, 77364, 78518, 78907, 80397, 80472, 80513, 81464, 81841, 83107, 83146, 83176, 83264, 86051, 88266, 88282, 88387, 88513, 88818, 89096, 89910, 92190, 92265, 94343, 94720, 94809, 98081, 98278, 100092, 102057, 102454, 102457, 103603, 104946, 105058, 108897, 108923, 109072, 109114, 109131, 109313, 109775, 109881, 109997, 110014, 110041, 110173, 110593, 112840, 112906, 113367, 113585, 113601, 117382, 117925, 120517, 121618, 121663, 121685, 121691, 122302, 125079, 125132, 125202, 126823, 129740, 129772, 129874, 130121, 130544, 130548]"
6,2,"[15362, 42007]"
7,9,"[37963, 67933, 70278, 87055, 89819, 97353, 111624, 113546, 121500]"
8,4,"[37600, 77793, 88727, 124811]"
9,7,"[32837, 73233, 112616, 123708, 128457, 128909, 130687]"
10,5,"[25933, 46130, 51828, 73545, 86455]"
11,9,"[28248, 31129, 31553, 49944, 69509, 79180, 98787, 112593, 128357]"
12,3,"[68812, 106606, 111146]"
13,8,"[8955, 64686, 72886, 83917, 92427, 106747, 115157, 126041]"
14,6,"[11146, 21119, 25466, 54682, 69035, 121889]"
15,8,"[22904, 70145, 81597, 101255, 105985, 115691, 120020, 126048]"
16,6,"[2552, 3570, 86588, 116983, 116989, 128484]"
17,7,"[18734, 35543, 39404, 55122, 89734, 101808, 132768]"
18,3,"[12507, 38552, 99606]"
19,4,"[43655, 51305, 55941, 90898]"
20,6,"[24517, 55230, 61253, 64664, 70328, 79317]"
21,4,"[16004, 16088, 101283, 129356]"
22,9,"[1663, 8473, 8719, 50350, 55100, 84878, 101959, 114090, 122937]"
23,4,"[5842, 69215, 94024, 132163]"
24,4,"[36360, 49554, 65497, 125630]"
25,3,"[19710, 21775, 126305]"
26,4,"[14351, 40360, 59656, 111323]"
27,7,"[23261, 24183, 56725, 56781, 72519, 72608, 116136]"
28,7,"[5334, 7582, 53710, 69649, 94985, 108089, 109515]"
29,6,"[97, 8706, 38562, 87343, 91686, 105899]"
30,14,"[9416, 24783, 39373, 46634, 55495, 70706, 71540, 80353, 82919, 90238, 94198, 105595, 121185, 122694]"
31,6,"[43307, 44609, 51580, 60120, 108143, 128933]"
32,4,"[84151, 91494, 93733, 120256]"
33,3,"[5641, 67389, 81386]"
34,4,"[26967, 36047, 110679, 111319]"
35,11,"[13471, 15886, 26045, 42668, 58809, 64878, 79760, 88327, 109943, 117934, 123023]"
36,7,"[9882, 14048, 20355, 27226, 83442, 92849, 121026]"
37,13,"[3016, 4372, 15651, 25340, 29555, 42856, 48078, 52777, 71810, 74761, 92321, 96980, 131985]"
38,3,"[14040, 15697, 79186]"
39,4,"[3665, 45065, 67078, 129413]"
40,5,"[24754, 60211, 63882, 76685, 102827]"
41,4,"[8594, 61971, 72027, 100056]"
42,13,"[10135, 15108, 40496, 47943, 51751, 57428, 79050, 95833, 98193, 98661, 117725, 123131, 126272]"
43,6,"[9326, 69952, 78986, 89489, 92578, 126492]"
44,7,"[20454, 50455, 69839, 89379, 91095, 122156, 124768]"
45,4,"[16416, 25216, 47599, 128533]"
46,8,"[35204, 36782, 62844, 86256, 96338, 110493, 111306, 124844]"
47,5,"[14491, 62522, 64779, 76230, 101661]"
48,2,"[99597, 111535]"
49,2,"[110930, 130512]"
50,8,"[45324, 46535, 47275, 65454, 83548, 99774, 111853, 131645]"
51,11,"[1918, 21405, 32633, 40291, 44221, 48686, 57520, 59615, 64032, 93460, 124759]"
52,6,"[12979, 41134, 76537, 85247, 86365, 110250]"
53,5,"[15608, 54086, 67748, 101178, 128776]"
54,4,"[10869, 75777, 76275, 93869]"
55,8,"[17733, 48367, 55637, 69346, 82648, 95459, 111013, 112227]"
